designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 6730683725336011136,6730683725336011136,284.2074846,-38.01511875,0.06512531666,-0.07711047717,-8.340192991,0.97507715,18.907225,1.1727409,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4754.945,4.9208,-3.844,1717.7062,0.0114,0.009,0.0049
Gaia DR3 6730683725336029056,6730683725336029056,284.1994079,-38.01194411,0.5451417701,3.652785175,0.1188078862,0.90546304,15.704115,0.9401865,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5720.031,4.4134,-0.3656,1269.472,0.3446,0.2864,0.1545
Gaia DR3 6730683725338828800,6730683725338828800,284.1999309,-38.01653121,-0.3551946394,-0.1699821845,-8.365917469,0.9500863,20.267736,0.70648575,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683725338831872,6730683725338831872,284.1996284,-38.01405266,-0.4543549789,-0.8030431283,-5.134918465,1.0310758,19.64916,0.95261955,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729630038144,6730683729630038144,284.2123435,-38.01832067,0.3829696492,-3.434651479,-4.217935143,0.9946359,19.074408,1.1085339,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729630044928,6730683729630044928,284.2098116,-38.0153034,-0.2977510187,2.096992274,-1.954519258,1.0264028,20.426523,1.5627003,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729630046976,6730683729630046976,284.2075707,-38.01476678,,,,,20.83772,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729630055296,6730683729630055296,284.1989661,-38.016355,0.09412191058,0.2559834052,-3.002425804,1.0419118,19.632654,-0.39910698,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729632228096,6730683729632228096,284.2114761,-38.01404355,,,,,21.012545,1.4261189,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729632230784,6730683729632230784,284.2046715,-38.01849989,,,,,20.720798,2.1081276,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729632237312,6730683729632237312,284.2077204,-38.01255736,,,,,20.961704,2.0594482,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729632243328,6730683729632243328,284.2069879,-38.00954029,0.2911705069,-0.9903666028,-5.247274626,1.1004899,20.710041,0.76291466,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729632244096,6730683729632244096,284.200084,-38.0148385,0.7402097523,-1.755466837,-2.438075601,1.0596969,20.73944,0.81497383,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729634010240,6730683729634010240,284.2050763,-38.01598548,-0.2881762575,-1.36992223,-5.402369056,1.1576685,20.428436,1.1193333,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730683729636783744,6730683729636783744,284.2099546,-38.0194541,0.4256422235,-5.029074436,-3.625333882,1.0140741,17.557526,0.9811001,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5157.9,4.7355,-1.0982,1611.8461,0.0309,0.0252,0.0137
Gaia DR3 6730683729636787200,6730683729636787200,284.2046478,-38.01669642,0.4309264388,-5.829180976,-4.106063874,1.0033834,19.982084,0.6077213,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560202078404224,6730560202078404224,280.9173881,-36.68848675,0.3105049699,0.06744384872,-3.606373472,1.046259,17.31009,0.9586735,,NOT_AVAILABLE,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5258.206,4.7389,-1.6508,1472.3552,0.0197,0.0162,0.0088
Gaia DR3 6730560202078724736,6730560202078724736,280.922572,-36.68935811,0.181159314,-3.48673678,2.157759914,0.9724446,18.05265,0.8432026,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5460.6865,4.7436,-1.4226,2405.5354,0.005,0.0042,0.0023
Gaia DR3 6730560202078726784,6730560202078726784,280.9232289,-36.68541052,0.5563167321,0.3505263521,-3.761346542,1.0814391,19.004341,1.2187786,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560202078727168,6730560202078727168,280.9247118,-36.68450203,0.3492842798,-1.523570632,-4.983105067,1.1347438,18.538649,0.97665405,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5025.4805,4.7838,-1.3696,2253.9355,0.0039,0.0032,0.0017
Gaia DR3 6730560202088494976,6730560202088494976,280.91198,-36.6894014,6.955118175,-9.726520128,-5.607653806,2.5109038,19.566605,1.7103405,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560202088495616,6730560202088495616,280.9278484,-36.69180698,-0.01261038358,-0.906820658,-2.757907687,1.0299107,18.960773,0.79808044,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5420.7734,4.7797,-2.632,3219.6218,0.0035,0.0029,0.0016
Gaia DR3 6730560206370635008,6730560206370635008,280.9242558,-36.69731572,-0.3097888578,-1.809569798,-8.442967348,0.9999742,19.88711,1.0869617,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370640384,6730560206370640384,280.9276176,-36.69152886,,,,,20.8194,,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 6730560206370643840,6730560206370643840,280.9207991,-36.69744665,-0.02457701426,-1.587224023,-7.884755949,0.99656117,18.628666,0.9642277,,NOT_AVAILABLE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5110.054,4.767,-2.7664,2338.1477,0.0113,0.0092,0.005
